step,total_ke
0,5263752763.219655
1000,5262229916.882689
2000,5258295072.664373
3000,5252071396.948654
4000,5243892513.459939
5000,5233905496.629023
6000,5222356931.907210
7000,5209430911.700668
8000,5195280713.277129
9000,5180053222.986229
10000,5163977824.864494
11000,5147131517.138550
12000,5129653664.902986
13000,5111658629.093474
14000,5093294497.786510
15000,5074715186.415860
16000,5055993082.154370
17000,5037261786.472818
18000,5018605100.958252
19000,5000107743.483557
20000,4981873990.607709
21000,4963958619.884622
22000,4946419451.702410
23000,4929306760.084005
24000,4912631814.875834
25000,4896439446.497122
