step,total_pe
0,2112291770.169729
1000,2109214583.590084
2000,2101283284.911498
3000,2088770103.667524
4000,2072368865.398198
5000,2052386918.593491
6000,2029286594.635535
7000,2003463437.846676
8000,1975222205.557894
9000,1944852091.183199
10000,1912805429.483759
11000,1879237441.245420
12000,1844410855.717327
13000,1808550711.187038
14000,1771948465.803701
15000,1734909283.802633
16000,1697582502.636740
17000,1660232312.431490
18000,1623017041.122282
19000,1586108491.806245
20000,1549716662.383789
21000,1513948917.726638
22000,1478925690.960387
23000,1444747300.974063
24000,1411440176.310814
25000,1379093749.881218
