step,total_pe
0,2117313203.680546
1000,2117622256.953327
2000,2118526228.958743
3000,2119655471.101955
4000,2120654659.854187
5000,2121232483.808937
6000,2121868975.195873
7000,2122922925.990974
8000,2123349846.021842
9000,2123691367.646719
10000,2124727549.338008
11000,2126525368.596210
12000,2128924710.149009
13000,2132006799.778451
14000,2135940944.225306
15000,2139945937.419739
16000,2144405194.494159
17000,2149979074.756801
18000,2156128661.851073
19000,2162596611.827132
20000,2170065923.326581
21000,2177851835.343870
22000,2186395376.060785
23000,2196032146.315331
24000,2206284617.604627
25000,2217611002.990274
