step,total_vel_x,total_vel_y,total_vel_z
0,0.006960,-0.011916,0.000000
1000,-0.203828,0.180590,-0.042427
2000,-0.407041,0.354667,-0.096516
3000,-0.620137,0.505490,-0.155190
4000,-0.816679,0.614661,-0.212403
5000,-1.006749,0.646885,-0.293413
6000,-1.210500,0.650306,-0.342773
7000,-1.385613,0.603872,-0.417665
8000,-1.510921,0.589017,-0.498889
9000,-1.675848,0.490004,-0.592956
10000,-1.854051,0.501941,-0.689809
11000,-1.968593,0.479425,-0.873625
12000,-2.148355,0.496553,-1.137012
13000,-2.411259,0.375051,-1.401606
14000,-2.580895,0.231716,-1.661412
15000,-2.765622,0.206784,-2.009086
16000,-2.999863,0.079647,-2.365151
17000,-3.207705,0.088154,-2.732016
18000,-3.455038,-0.053866,-3.218502
19000,-3.575825,-0.242053,-3.654759
20000,-3.854678,-0.451278,-4.326206
21000,-4.255103,-0.679613,-4.741808
22000,-4.681329,-0.942516,-5.321253
23000,-4.931776,-1.226471,-5.875430
24000,-5.576317,-1.462824,-6.353213
25000,-6.212256,-1.459435,-6.889052
