particle,pos_x,pos_y,pos_z
0,21520.948892,-4446.389658,-605.778559
1,20930.700199,-38299.226480,13780.329627
2,17835.137972,-2504.656265,2438.775185
3,-31946.418156,-7618.683366,16829.345865
4,-3871.706919,-24809.307046,-2462.940934
5,-220.463264,-2554.858553,6601.909394
6,-27407.191405,1648.308819,13839.969065
7,8023.209816,26529.417499,-34475.434706
8,17062.139765,-20045.336889,2698.983770
9,7503.667305,25016.031426,-4143.686402
10,12764.483224,-6004.443842,21156.405345
11,15248.951659,-10600.716397,-10123.248156
12,-15109.648661,-27947.794154,23261.517854
13,14328.860780,-14484.404467,32633.912406
14,17166.719593,-2633.870465,24154.675479
15,11075.371866,-12857.982894,-3914.873352
16,25932.878642,19801.998062,8262.722518
17,-27429.422758,15459.951385,27999.865039
18,17594.282107,9276.984536,-12687.123403
19,8949.879506,5307.864397,25515.137889
20,-15494.648309,-10676.538278,-3161.757336
21,7.737617,6812.211543,-10988.186063
22,2747.439718,-10445.685758,-7560.136844
23,11624.970849,-1410.173754,-40432.192893
24,-8633.874077,-6041.541367,-8762.454313
25,-6673.002601,-1398.970531,-8665.944099
26,15124.490403,19589.190331,-19820.395410
27,-19397.862869,-16324.737915,-25109.081727
28,16068.828147,6019.189137,8767.995832
29,24294.062488,-30321.566847,-3355.948962
30,10099.827545,-15320.967504,13029.345765
31,3634.697244,11281.070391,18417.566037
32,-3698.496851,-101.847359,27872.169429
33,11000.293191,13269.501662,-14589.744842
34,-9654.537242,-16373.473704,-7616.418346
35,19289.790260,2147.655949,29257.484414
36,-1001.145612,-20127.076044,-7681.115757
37,8861.663065,-7197.939797,-8260.718523
38,19856.062062,-14306.482834,-2972.529161
39,-21000.178673,-14053.865510,766.022947
40,10506.446047,2600.804671,6436.618143
41,14186.816076,-14775.611481,-25415.356150
42,15333.301486,-16296.651527,-26833.118098
43,-3069.882556,-19488.182732,-23545.113628
44,-33721.942047,-17906.865431,44288.612169
45,5365.605259,-13439.283915,-29763.500953
46,-6685.205952,11873.618526,13721.037985
47,1614.423271,20075.516222,34944.706635
48,-9957.073704,9838.427958,7934.294914
49,10954.184392,-13596.293386,35049.974650
50,2208.344706,14180.247591,-35417.466173
51,8347.312843,348.856639,-23679.384864
52,-8715.194557,-2436.189521,-20622.120205
53,-26231.729364,2270.144021,-8726.050168
54,6101.170235,18532.026485,36146.817072
55,10858.793369,-17228.133612,-10904.408420
56,15579.920308,5594.471689,-37084.746863
57,17882.983729,24921.695263,-8644.455759
58,-3749.219866,-12252.474885,835.365755
59,-17409.568032,-4575.826579,-10019.037274
