particle,pos_x,pos_y,pos_z
0,39090.839746,-22341.775904,899.480014
1,22032.221934,-58723.993974,32414.532778
2,22866.641459,15121.806944,5648.745657
3,-46065.648433,-7948.724747,32107.110762
4,-11565.102877,-42129.733273,8633.039965
5,12674.260827,-17788.590665,21317.263709
6,-36121.039137,-9887.242858,15050.802224
7,14886.260648,37276.182536,-51884.604202
8,22341.901349,-31837.581868,924.265721
9,20676.770211,33158.165000,10502.939892
10,18970.470678,-25662.589278,25618.912760
11,18644.392818,-9742.007341,-21322.191700
12,-25050.300674,-36686.491143,26560.173588
13,12531.405370,-11739.174095,56528.510339
14,13160.646768,1333.103938,55923.935798
15,22876.520783,-4465.686031,-24060.162484
16,44884.292340,30934.909620,18795.286410
17,-44210.682883,33811.068163,53010.853595
18,19940.410813,8529.755937,-6135.954731
19,12966.011060,5697.240953,32649.839943
20,-14967.759924,-7853.437345,-18936.528543
21,-721.645224,1126.259516,-32050.015567
22,-15156.786870,-20080.223178,-4665.194154
23,12245.522647,6664.681566,-68912.253334
24,-20177.216325,-4272.230626,-14789.362607
25,-16782.853171,4958.421770,-9177.443892
26,12124.193006,22894.794726,-35813.201180
27,-20523.410987,-17962.042899,-48493.756972
28,29689.548192,-7330.972093,19260.907424
29,35691.823738,-53063.769120,281.591827
30,2654.223730,-21458.011965,34187.797025
31,-4801.758284,16547.271089,19825.229270
32,-18872.338184,-1008.557597,43984.580437
33,22917.021914,7390.791540,-16795.190715
34,-33967.596947,-14295.130131,-10764.696982
35,38257.972884,-7250.429874,38742.549056
36,-11611.458801,-30308.949045,-14949.956022
37,6361.599972,-5429.468632,-30040.659113
38,37894.117973,-14062.622587,11551.444330
39,-20869.875189,-38271.155223,-10122.066316
40,25654.677713,19870.902241,22364.119009
41,32282.683082,-25059.717084,-41324.031002
42,13706.952031,-18838.271161,-44677.104963
43,-11518.163967,-40896.625605,-28357.922724
44,-49059.841527,-25725.180356,70781.903573
45,-9377.218394,-25536.043791,-48230.999662
46,-8958.231012,33916.988062,7423.222194
47,7180.742932,28521.481693,51860.639179
48,-9309.466015,2206.645458,27536.822223
49,12998.990065,-17599.957088,53579.942376
50,2009.394256,29769.964263,-50647.252962
51,5596.695839,-830.472976,-35011.675024
52,3775.552110,-3925.926123,-35480.437524
53,-35009.727986,3066.634901,-24836.271060
54,6853.378822,22523.634492,53181.027400
55,8894.715331,-30315.679025,-8804.294770
56,17398.167486,4252.060984,-65627.549465
57,17961.972445,46324.160873,-8310.685967
58,-1526.327657,-5929.638284,17173.774143
59,-25655.212917,-16601.113276,-13098.472461
60,-22889.499366,26645.553501,18259.241400
61,11005.971711,12800.637879,-18518.549913
62,-7302.806662,11912.029181,51388.714119
63,13282.892376,5495.141268,-57130.941502
64,-22770.029726,10435.811884,-54966.948823
65,19381.718354,2569.185975,24447.852252
66,-25152.074069,-36935.196937,-24018.479703
67,-49568.471032,-1637.851211,-3345.100325
68,-4455.817254,7442.939122,-38777.287381
69,7308.814190,33610.128868,4087.080541
70,-50932.834815,9922.650176,37849.803230
71,-35925.352592,7424.365588,25729.129849
72,-16093.393950,-12006.557041,10910.856870
73,-18812.916049,-31189.177596,4423.444546
74,-33669.350795,49860.637315,30750.858738
75,6363.980591,12967.978701,-46614.156322
76,18784.847489,8111.783037,40567.672141
77,-23403.336291,-13422.364542,-16340.949049
78,5151.160475,712.488435,81493.401983
79,5545.298925,-40633.373549,-1196.248122
80,-5130.961465,14323.189813,-17417.603962
81,1579.109091,18449.344295,-28213.112198
82,-6909.771937,-24805.979212,-4313.677303
83,-37520.213817,28218.846322,38570.011595
84,-10249.200442,27586.521281,-24504.800130
85,-11112.721424,-12936.182790,29513.956853
86,-11704.282649,11405.846853,-9914.019110
87,11814.043238,55776.237712,28468.724250
88,7819.553488,-9368.790998,-10966.287246
89,-14512.575018,44027.880785,810.913891
90,-19533.324336,-18933.870678,46600.441326
91,1409.163257,-14500.370374,58563.536211
92,30147.165102,5285.457113,5211.424462
93,-49087.248088,50882.260875,25686.093915
94,4457.781031,-1158.260417,45154.590193
95,-5279.222113,28342.200235,8869.791621
96,4809.466502,-10388.042939,32210.702699
97,-9783.438251,23218.316084,-309.465127
98,-24407.206407,7153.673556,-25049.038843
99,8292.006239,13976.195359,-42870.736972
100,-10855.030422,5368.378541,-15935.690660
101,9167.792341,44735.567024,2809.235006
102,-12784.773413,-7535.721375,31693.079259
103,-6303.534556,-9960.842222,-60308.027470
104,10431.209317,14084.598742,-6660.252566
105,-17418.607361,-12123.117392,21653.331925
106,-32501.539927,-24514.186162,38453.836973
