step,total_vel_x,total_vel_y,total_vel_z
0,0.005935,0.006404,0.000000
1000,0.033220,0.141663,0.002116
2000,0.089989,0.260642,-0.002083
3000,0.168532,0.402471,0.008077
4000,0.218844,0.577973,0.028795
5000,0.290892,0.788871,0.025858
6000,0.344036,0.999235,0.056340
7000,0.294561,1.138988,0.071660
8000,0.335485,1.372529,0.173517
9000,0.382241,1.558723,0.229412
10000,0.414888,1.707003,0.378771
11000,0.541439,1.993205,0.461726
12000,0.631157,2.256994,0.529094
13000,0.784724,2.503177,0.630275
14000,0.897389,2.661822,0.685900
15000,1.040359,2.943747,0.807448
16000,1.247386,3.111081,0.946328
17000,1.487261,3.096204,1.071840
18000,1.631027,3.105048,1.106403
19000,1.785090,3.275328,1.318935
20000,1.766894,3.380478,1.268161
21000,1.870832,3.388494,1.283727
22000,2.077509,3.361045,1.135985
23000,2.222239,3.427404,1.030620
24000,2.213093,3.512505,1.106224
25000,2.284692,3.692550,1.162503
