step,total_ke
0,0.211491
1000,347466486.762498
2000,1246076859.768895
3000,2003659601.799622
4000,4839021204.618984
5000,6622193624.863204
6000,7833539555.200784
7000,8973575107.670221
8000,10867074105.153057
9000,11553309071.094179
10000,12423252021.502234
11000,12634862491.868574
12000,14033041674.429958
13000,14135209858.897919
14000,14622431956.082069
15000,14654018339.392702
16000,14818613056.391760
17000,14876360117.046675
18000,14939704129.522360
19000,15043231388.090925
20000,15071615633.665743
21000,15106076609.957611
22000,15124296808.047174
23000,15143083227.795534
24000,15169424374.116758
25000,15184514892.933578
