step,total_pe
0,2119800055.577355
1000,2120077952.954900
2000,2120599968.369254
3000,2121327674.541042
4000,2121997311.689655
5000,2122579568.073610
6000,2123427231.733435
7000,2124387375.352266
8000,2125670684.582679
9000,2127118735.353397
10000,2128971980.770154
11000,2131176575.725437
12000,2134128985.459385
13000,2137085222.777430
14000,2140815511.851870
15000,2144884583.529563
16000,2150007363.739172
17000,2155040276.620605
18000,2161693868.931746
19000,2168832234.946801
20000,2175918948.277456
21000,2183941456.880944
22000,2193154620.639342
23000,2202845925.652456
24000,2213310317.786166
25000,2224603190.375661
