particle,pos_x,pos_y,pos_z
0,3356.192538,10095.379407,13169.763857
1,17649.509480,1949.329346,705.485642
2,-8210.940267,3740.826457,7516.297856
3,4375.150106,5218.294153,534.908353
4,-20135.531525,-4082.926232,10445.699193
5,-13193.356362,-13384.156649,15459.857271
6,14589.514736,-16561.142782,4524.576242
7,18610.523713,6258.488748,6068.033958
8,-14977.607330,-3102.101476,14641.817603
9,-16187.909000,-4084.035330,-6545.638580
10,1092.492533,7122.468930,-651.509375
11,-17214.769493,-12836.470700,9440.287654
12,2533.286157,-8610.460525,1248.137085
13,-4146.834386,-8382.528118,-5910.234894
14,14776.061261,1760.461134,17864.664490
15,-15017.455328,-4117.686817,-21862.900985
16,4673.819008,-19844.240889,-16308.101094
17,-14837.970472,11364.592682,8281.531992
18,-12309.775044,11643.861028,2635.167921
19,-4490.133503,3622.007530,2763.360415
20,15235.890173,-5520.886516,342.692254
21,-5059.149038,-2294.172083,10030.448438
22,15286.941971,8741.094940,9425.250246
23,-298.234555,-1085.638998,-4951.272156
24,-3851.438872,-7360.047225,-20709.306213
25,-5150.731548,11640.129558,-4382.607599
26,-9200.626046,16786.545154,-4854.008900
27,-15446.167359,4940.202329,14293.994475
28,899.143005,19888.896967,1556.665161
29,-10153.910418,8569.564489,13345.546455
30,9917.596414,-15398.632015,-7975.255449
31,-16536.347144,-10061.791797,-19165.621238
32,-21641.988970,7995.655889,16745.766645
33,15069.343809,-10599.745149,4508.517691
34,-559.429864,-16351.587192,20474.973907
35,17468.243130,4273.872060,9495.768211
36,-14184.027597,-4017.743379,2435.196114
37,18566.521948,-3271.698440,-8060.453160
38,5967.032143,-18437.455939,-18283.357492
39,12981.911287,-18086.482724,4673.682252
40,-5190.268678,2945.625469,-14369.670964
41,122.145924,-15372.426456,-11001.618217
42,4772.517222,16823.552010,5521.253271
43,-669.512861,11757.686412,10671.343496
44,9021.396094,12682.867316,-6565.606577
45,-4987.371587,14946.593349,-7455.867695
46,17522.428811,-17730.023785,11114.300223
47,-8056.497769,7927.204936,-16426.157588
48,-15111.141236,15329.649704,-2300.327951
49,1692.305913,-5340.682781,-9886.615046
50,6702.156668,12385.122645,20.770364
51,-1504.546840,-5586.919995,303.502316
52,5747.110429,-1047.443982,-10540.996334
53,12896.399464,6593.842197,-9622.046746
54,2346.592416,9364.217603,-20594.960951
55,12235.501918,-2642.762444,10342.235647
56,-18892.012448,-4306.133257,-7730.422694
57,-6759.808636,-9929.396099,4410.286950
58,-10923.961360,-16691.746465,-14723.991665
59,-4265.720401,14876.121636,-1490.638995
60,9732.301936,-10436.609197,7275.772874
61,5397.295394,-1175.810872,-2694.673399
62,-13211.957972,-20124.476625,10366.962193
63,18922.785132,-17052.086721,-5688.542412
64,-10383.933422,-18962.743146,-2902.926142
65,-19639.074509,-17141.125591,2811.162652
66,-13974.357344,18539.013114,1052.064097
67,-12654.745334,-17603.355552,16761.834693
68,-14481.016970,3271.377158,-19249.463920
69,2781.103082,-1428.949464,10639.702016
70,-4597.781112,9361.946830,-16268.766148
71,14067.317009,-3612.885856,-10038.260258
72,-7571.296572,-6010.877396,18379.311599
73,-10317.339834,-12905.250832,-11870.156124
74,9970.486465,-12395.489709,17993.547302
75,-4322.697289,13836.807422,16976.759563
76,14107.583086,8694.272845,-1028.370603
77,4008.997788,19057.542671,4639.157646
78,6499.161255,4959.821905,925.188803
79,901.050818,6344.008782,-10860.040736
80,-5202.102977,6601.766540,-21845.225961
81,10410.846615,473.613615,-16670.179902
82,11859.252531,-4654.249657,5206.796959
83,-17069.993037,5093.617718,-5262.277960
84,15408.688402,14852.373689,-5025.722383
85,16747.147025,12507.016705,-18175.878497
86,-7687.711046,-16870.785194,-1433.463154
87,128.802710,5201.777490,-12805.706728
88,8348.314066,15566.441588,17290.640800
89,6434.438314,-13655.307103,13166.886661
90,8774.308154,-19954.294817,-13407.566469
91,-5320.469102,-14316.271764,-1933.779951
92,-10122.563423,-17982.303554,-11234.563627
93,17045.716094,12350.259459,-13893.331433
94,14521.846607,17270.859643,4054.378160
95,17095.046229,-4298.580872,-8582.607353
96,-10026.615425,-6091.911442,-18800.403502
97,-10491.783111,-13287.969081,-15537.225299
98,-7158.975501,-4550.408667,-3520.618029
99,10462.489891,-19921.425985,-505.745731
100,-5300.991910,11303.340108,-18339.152953
101,-2069.561746,12573.274267,-1361.833642
102,3705.589179,16252.091559,13211.507368
103,-16831.810807,2658.264383,13515.569873
104,13471.508241,8613.974538,-15410.563980
105,-9311.054900,7041.257488,2567.106890
106,-15496.443695,7203.423285,7927.244992
107,10171.637305,15891.105325,-1030.711962
108,2124.866795,-12825.399848,13658.736126
109,-7527.188483,2614.261391,-2625.456572
110,5032.961302,6025.996680,-5900.184339
111,948.308904,-9127.887905,-17065.699158
112,-124.921460,18285.523033,6577.450513
113,9740.769714,5731.866090,462.753190
114,-3212.082601,-14137.013942,-2446.103206
115,1573.949252,8851.252889,-11765.377749
116,-4906.946422,7339.666807,-3205.522913
117,-2863.970722,11368.960888,4584.610224
118,17508.359286,-2012.451339,-884.278376
119,15448.863935,-14006.391332,10671.283789
120,7956.514180,12808.714233,-11153.343124
121,-16136.449047,8550.516893,393.219456
122,16998.366870,20006.656731,11634.616611
123,-13219.846803,17775.857073,-5040.821606
124,10174.451390,-19844.717314,-9528.244932
125,6639.261698,1295.996605,20170.372256
126,12186.530140,-7129.758541,-4474.735146
127,-17105.310619,-1668.429045,8952.641060
128,-2143.858118,-1463.194197,-19170.080015
129,3212.121091,-16942.196299,7657.583946
130,-7567.772488,-7405.461263,-3223.053200
131,5458.129209,-12320.941375,16242.630010
132,14102.971323,-11309.968890,-18306.447291
133,-4182.176226,-34.856292,15224.799264
134,-15590.722151,-173.745956,-13776.305276
135,-17156.550525,1368.916461,15769.253473
136,-93.042366,-8337.056243,-19201.689579
137,875.645226,-8748.218838,-6741.928749
138,-16989.665175,2576.423030,4275.863354
139,15065.674923,-4448.026338,-13446.168517
140,15852.822809,15709.890724,-7318.922262
141,10930.491788,15237.699941,7585.774584
142,19205.510282,15328.752788,-15771.333539
143,1111.058384,7126.921895,17381.646663
144,-14557.100898,17321.715750,-6058.413893
145,15153.901138,452.605524,14584.664169
146,-9608.424892,-10929.012973,10834.772103
147,18543.234383,-507.816669,-18514.843602
148,-13030.134039,-14330.909894,5831.897423
149,1709.575307,16743.403553,1665.318685
150,2878.655674,-5482.271135,-20283.584631
