particle,pos_x,pos_y,pos_z
0,2672.856671,-46911.792182,28524.902925
1,-12073.415357,-18562.816825,4327.898863
2,-25579.840190,15319.861806,-21860.279541
3,10869.710047,-7502.492625,-15905.016217
4,21465.297053,-15371.948812,-6527.683687
5,-22712.884477,-24299.309821,-26836.315177
6,18494.221972,-3803.330197,-24270.652142
7,-3360.702527,-20060.596636,7398.342437
8,825.932470,5254.885513,-11406.694691
9,11244.396393,42438.601319,14453.687357
10,15793.023572,-42886.598150,19162.027559
11,-17492.319989,-28716.722079,-27674.813201
12,-11854.604168,15300.106401,-25282.760691
13,-7132.954681,-6708.804094,-31481.714891
14,-27611.989859,18366.938028,-13306.139899
15,8194.831923,8728.297205,24927.294926
16,-11646.034741,32890.625085,51610.551052
17,36824.754320,-17921.804763,9810.868768
18,28615.884245,-21573.068693,-10063.897467
19,-41905.664606,-19342.354160,-24551.845245
20,7969.024689,-5783.193588,23834.079625
21,-14906.827312,17854.142324,15042.289063
22,4837.752394,-9188.603690,25696.320950
23,22064.500996,50974.598374,-14016.972424
24,13790.133297,-11019.204395,-20710.737680
25,-15123.572406,28037.638758,-14829.187413
26,14612.984108,31646.681737,-19304.463453
27,38095.213975,26306.935826,-4463.990907
28,-19275.677818,7183.033346,-10558.086342
29,36519.943279,-12055.431420,21799.936227
30,11290.459427,10346.686525,45300.502070
31,45714.459401,27311.079292,-13241.281314
32,-28917.165605,20527.143317,-38810.697986
33,34370.581382,17886.816864,32476.270116
34,16361.902609,11155.932771,-16998.995640
35,-31821.463396,10488.218822,38415.876897
36,15229.702342,-31978.447141,-23240.161824
37,2331.235292,-11690.162819,-19262.881123
38,-15015.952678,43445.593507,-14909.848221
39,46239.911904,-23530.873243,-14249.857033
40,1477.641784,24922.184317,-10464.689585
41,26814.960617,-4937.246196,-21600.821541
42,4047.867805,3650.184238,-39789.024732
43,29957.099439,6807.357738,24151.045148
44,-27172.679027,-4986.216755,35976.432044
45,19811.232849,-38498.857148,-8105.608410
46,-26736.022836,32739.792363,20384.509797
47,15279.919573,32296.891516,27323.494313
48,20475.780698,9943.314669,20680.840968
49,26727.681639,-23599.127050,1411.386094
50,-25988.918835,125.945706,-39739.540228
51,-41472.406509,34412.790234,15432.675641
52,5435.488630,-2996.060484,32628.914220
53,21651.881292,-36455.515979,6037.236799
54,-12041.404135,5632.944680,34316.788465
55,-26993.755144,6124.744554,-43120.998161
56,-3273.549417,5059.158592,-33584.922703
57,24879.223992,13449.267991,-19977.923329
58,26516.929919,10614.255932,23539.626109
59,-37240.634981,-14679.371993,16929.288149
60,-9511.375964,19504.136745,-50206.830905
61,14278.760636,63197.748819,49427.209723
62,18930.431197,10803.665446,-17710.287488
63,-14086.610466,24278.743817,-14456.388276
64,14013.215647,4710.386558,60418.265735
65,-3482.448207,-23281.951522,-40135.604252
66,-13691.092663,11928.322648,24323.101139
67,-187.239649,13484.800823,-28876.538737
68,-7200.308571,-15130.783000,20557.526148
69,24540.175219,2315.481700,4902.878456
70,-21618.143842,54710.218296,-8827.027844
71,-15840.960463,21655.204737,22928.027537
72,-5150.304310,1790.888226,27362.521138
73,24826.589077,21160.037435,20707.992104
74,-8580.191811,-50929.091800,7821.874538
75,1167.891746,-25730.499831,-8026.855233
76,-20203.130899,-1603.727338,-14043.112015
77,1083.229585,14548.536927,40185.465149
78,434.797499,11523.307504,-41347.560607
79,14071.846136,28467.555375,33045.419339
80,-21696.410411,-31956.406757,-8182.637334
81,-7820.154362,26455.587258,5695.417437
82,-20106.499780,-1899.035710,36907.165561
83,-16448.534708,14165.370032,-20232.649476
84,-23815.124597,-23776.955636,26703.504645
85,8638.076565,-26607.242307,-20066.352707
86,-9072.856091,-23.498651,-36119.195671
87,25871.243963,111.526083,19091.535624
88,33667.199696,27353.901595,-43684.422125
89,-37041.123928,17720.155142,-2038.771436
90,-12521.068397,-9928.913774,24541.513405
91,-19361.683871,-3338.007311,4151.151612
92,-16510.478397,32885.189438,5500.863186
93,20263.947136,-3545.857972,19384.298714
94,-8833.929655,-15083.211902,-31852.168253
95,29868.563412,-10462.724378,21456.834818
96,-25614.375276,-27760.140670,23145.650902
97,20402.283663,-4556.097444,32624.972853
98,-11619.348674,9565.823723,-48466.677501
99,-17743.919160,-35028.619298,-20956.550179
100,29164.060817,6142.935728,-47211.072382
101,23109.592118,-17356.431656,5585.203779
102,9478.624348,11200.706270,-43342.853397
103,-14504.597668,-15959.352810,15303.901104
104,-43559.918462,-25215.621949,22830.198397
105,3366.779863,1064.309581,4396.029310
106,4243.112649,11734.390157,44484.268941
107,38670.565500,24233.212194,33052.090030
108,-4136.693165,-4276.273557,-21086.797382
109,4449.360148,-8617.244322,-22067.538136
110,32001.477780,44652.712651,-628.689207
111,-40604.478046,30375.462031,-5199.543433
112,-46163.444371,19189.297696,-9739.007402
113,6038.211173,5419.568635,942.256843
114,-19096.220985,13718.171726,-3846.824540
115,32751.541587,20864.552243,7893.642407
116,-12470.429901,754.448395,7241.885356
117,-748.362302,10534.194012,39327.939101
118,27244.151635,4269.155669,22588.894929
119,15878.909086,-39333.735806,-13103.670154
120,-15563.567318,-9842.604558,24081.857715
121,38677.515945,-29756.762498,16158.037236
122,-5444.306093,-18832.469752,-60282.529425
123,-17817.294252,5460.251256,17379.142305
124,8630.928689,-27892.108025,-25838.190819
125,19331.517617,8581.802300,-31263.556870
126,-31583.170028,4763.013470,16583.943879
127,8748.678840,9270.861090,-25742.616001
128,-11524.670206,-4359.092249,-16273.177819
129,-2886.760576,-256.196124,-36057.897947
130,25465.052172,254.524274,19598.261354
131,-10230.952300,-33865.866137,-23421.603814
132,7933.937597,18558.062858,-10926.543759
133,44521.206187,-16325.917428,14081.211702
134,-8704.542494,1307.528663,-11147.979008
135,6206.611167,-18236.331393,2949.043885
136,-18146.641131,-13994.310688,15558.190280
137,10208.574299,-12262.767909,-13943.592420
138,6467.792850,-16561.163886,-27689.411964
139,9923.128105,3935.478575,-28659.736958
140,5534.617002,14181.892457,17506.799070
141,-34524.901652,3012.293642,-18509.786838
142,4633.237397,13092.599431,37059.510252
143,-27999.203607,-25077.835387,-58907.924105
144,-2834.740336,9275.896516,43536.135870
145,10650.247736,4425.935437,-2993.154292
146,26651.544793,13311.136606,-5166.182343
147,5882.707516,-18613.040420,32181.017870
148,-20186.726144,31501.565238,39644.194599
149,25886.581471,16558.053271,2410.301779
150,-2076.413743,-14553.435743,-39714.562234
151,45683.065648,-1217.669625,-24960.211034
152,501.948562,7791.437900,-20888.727141
153,-1645.884796,24768.992494,30492.026994
154,-24916.201337,46333.540611,697.158724
155,13939.475392,-42599.058195,-40028.730234
156,-9538.963705,21005.276531,-25200.877947
157,8831.835419,-10775.329235,-19178.441082
158,-14692.874134,-2604.771166,25112.233936
159,-29178.119663,52226.190563,16822.361700
160,-5757.344125,640.595206,11947.042967
161,-26750.303610,40695.064507,-17260.021907
162,-29857.303377,-15852.225512,-7883.968165
163,-3861.192225,-24307.205956,2090.870214
164,15547.838290,-10626.773615,-19484.519301
165,27942.663491,-33990.417407,3881.214764
166,17389.217238,-7184.615953,38278.757297
167,-4464.128460,-24486.059538,-28950.207105
168,-13613.277220,-2287.323277,-17120.518723
169,34245.586714,-10556.002325,-49191.721039
170,21358.977232,-16895.402810,8041.676593
171,-33740.153510,18681.530528,-50984.584011
172,3289.135274,11496.890295,50675.510321
173,455.405254,-31087.702429,-6677.201361
174,14013.972184,7785.282858,-7350.187415
175,16686.644921,8271.638810,21211.114200
176,-3885.851957,-18771.296652,7229.491184
177,-34780.622255,-38672.519518,39745.420834
178,-19953.957845,9976.858701,12358.675747
179,11147.111511,-7877.854361,-10301.209279
180,-10568.908253,9872.493912,-28437.947215
181,32400.288104,21238.696589,-9431.584305
182,19714.155294,-6042.342481,17377.151353
183,4231.191153,-37226.474641,14030.500814
184,-5677.857722,-16144.401224,10562.482800
185,46186.024273,-11766.476629,-21996.963668
186,10559.391318,17905.551804,-49784.413753
187,20080.008735,29730.708454,-20473.017932
188,-12225.317841,-38919.070303,16502.765157
189,-30646.916456,-24346.205590,-6331.745250
190,-3111.302233,-22238.345762,-763.286654
191,51188.532910,-23507.846038,-390.256354
192,-45900.565314,-33035.977076,-11979.529358
193,-34272.844894,15171.523103,28949.879144
194,-26639.825427,22352.513504,-36559.095315
195,-22513.534744,-5025.535000,3062.207754
196,-13824.389971,23558.669947,-39167.964918
197,22388.036524,11637.988484,964.534786
198,-2792.810314,-26113.323575,20839.712914
199,-7820.565510,-44273.019363,-19469.840595
200,8834.593729,-5574.753451,-8296.630140
201,32667.735765,28914.396035,19735.402684
202,40132.678807,-4136.221139,-50395.943628
203,14342.289227,13632.254492,-37452.451436
204,-6035.521526,-7458.492002,22303.968851
205,-15563.036575,-12912.994215,-15998.916014
206,-16403.435868,-4266.725081,11479.140014
207,-13354.288384,-27542.159022,53070.719938
208,35417.332561,-13122.391839,16120.857223
209,-19831.176759,-7137.161903,3274.580048
210,-24954.577366,16115.958024,-19074.421105
211,27413.616274,23611.162814,-11109.673387
212,29077.422444,14450.534884,45112.583411
213,25414.453006,1106.205335,-3800.799679
214,15512.116205,17684.836814,-19709.887105
215,-23219.441359,-10610.511812,-26107.201203
216,-10126.731813,-13174.512274,-7777.328003
217,312.519440,-6338.290048,-21095.626639
218,-10204.915082,-8452.598323,-35582.816910
219,-15260.504854,908.721249,-43631.719224
220,28274.483847,-41708.570167,-21149.308645
221,-16632.371546,-23053.407029,10953.537067
222,975.593257,-1000.080095,9748.566006
223,33111.658935,24268.404815,-22804.445957
224,-36625.534616,29040.529108,4515.350912
225,10983.950979,-20606.261203,-12261.013768
226,-8676.894346,-24285.744366,37766.732281
227,-7081.725137,-24992.808982,6163.458762
228,-20203.565853,18746.747864,24095.584376
229,4491.591585,-16216.731504,39317.510389
230,-4385.864913,33878.127643,6685.572577
231,-42777.452240,25790.676341,11280.768624
232,-4993.466093,-25286.036614,-41183.517414
233,-24429.638407,9591.593822,-1176.016272
234,10848.239631,7004.653760,30920.166515
235,4500.096108,21400.238704,32990.531261
236,1971.972814,33667.977661,-18527.293544
237,34274.248197,13959.105656,12714.009817
238,22748.268376,38467.018761,7941.633772
239,28753.467210,-12651.634975,8062.045691
240,-2541.728172,-12057.065011,-4752.228440
241,-8326.547489,5458.710807,62499.669431
242,-34377.525276,-24310.638902,784.668510
243,-19259.809009,-24495.930776,-15221.123814
244,17056.310040,9467.530671,13134.898267
245,17710.318802,-27410.980587,-21132.783104
246,-34539.599403,-35270.188604,-7168.955461
247,-32705.026863,12067.509383,28416.394934
248,-8652.496603,-11792.741318,20739.510974
249,-19421.097350,-12038.239820,-27127.574963
250,3636.236586,-21087.025622,5646.529573
251,-9847.595438,12000.770792,48750.769706
252,-9211.065595,12280.214178,21447.380064
253,14688.253220,8997.510654,38302.172743
254,-19204.803712,-17231.550750,23992.856305
255,723.494535,-13463.599128,-53790.370209
256,22664.168023,-14525.950116,9003.879445
257,5640.164522,18538.935052,10042.336984
258,-12280.744111,29314.638115,48772.622362
259,5766.962785,-5484.397432,30755.790464
260,39827.436296,-3221.955835,-21038.820334
261,3721.478167,12893.139647,27034.040666
262,-22297.418372,-7928.302329,-10497.509938
263,33600.649608,11408.928648,-14972.815942
264,-5343.473003,-9079.010473,13224.369260
265,-35155.742288,18524.255301,-32786.496200
266,-20819.992873,-6163.470040,-3998.670530
267,-36320.980615,-6107.259266,44941.299873
268,430.506992,-15410.501279,33962.149612
269,-12666.793818,-4629.021136,-42395.541029
270,-43412.564685,-28452.414498,-23293.078995
271,-18951.405698,-21315.120480,6126.831804
272,1450.931672,39766.361327,670.513319
273,-33886.306324,-23887.992674,18535.810214
274,2898.343787,16756.535174,20542.791599
275,1161.595144,-949.677404,-4536.994591
276,4489.473748,4215.152839,-57418.840130
277,24917.190029,8941.214555,-19453.558018
278,-20248.565250,-1724.917258,-14707.725424
279,24228.140482,-13765.704799,-8525.816176
280,-19654.221831,16880.393832,19850.619349
281,-27792.761608,-33.762192,32951.587996
282,9389.635134,9927.847407,-14314.692166
283,-38241.309294,27716.962697,-33628.910812
284,12986.033876,2621.270762,10870.554801
