particle,pos_x,pos_y,pos_z
0,2059.730677,5892.713658,-8674.842716
1,-12066.898516,-5943.263530,16123.061982
2,14766.717077,15059.191828,3269.338794
3,13545.630810,17138.655764,-12041.114039
4,-15918.391049,10847.870253,-18098.375580
5,-11380.873304,-942.824714,-10196.735776
6,15528.077012,-15569.572994,-15860.973215
7,-13746.239497,14256.072124,-13403.499890
8,-13691.133483,-5180.471551,-2214.768182
9,14146.447978,7567.780574,11331.847686
10,-356.793423,-1642.601755,2938.455062
11,11941.176311,-14954.445971,-10118.360946
12,12954.392819,-10189.971026,-10707.542821
13,8875.346601,3324.341701,10859.254835
14,5407.963605,14048.428608,6821.356766
15,7420.785806,12389.304203,-13569.897451
16,13178.747019,-16994.248346,16519.831029
17,-6795.362466,3356.269677,2802.448992
18,8663.138457,-7816.225904,2142.420358
19,-13800.951421,-12556.038975,16540.401171
20,2653.785239,-17366.158271,-10313.653130
21,-2472.113677,-5313.990717,2396.126388
22,1079.595357,1578.596519,-12179.621170
23,-3418.585853,153.132959,19901.090641
24,17092.628486,-14357.336039,-16814.198512
25,-8034.294566,16003.694297,6323.709496
26,-6038.714229,17493.674346,7154.772277
27,12328.308029,-9515.808351,9346.414734
28,-16157.011315,15696.253005,-12096.104429
29,-17028.231439,-17132.159301,16588.491246
30,-7323.467125,2814.945409,14781.865989
31,2785.729614,-17243.851788,-18030.223301
32,-17475.410584,-16235.611302,7748.357112
33,-12545.357147,-7468.803373,15669.139520
34,10754.444079,11154.593822,15928.517699
35,-4812.323726,18063.689468,-3216.589368
36,15002.169406,-1460.684121,8428.522026
37,-11193.772327,-326.490251,7119.143435
38,15157.000025,16044.881456,15484.578744
39,15897.116080,-6491.863749,-9277.335105
40,12317.003059,14381.383294,-11841.315089
41,-5474.631509,-14795.547326,-5568.687940
42,-12513.518074,-12455.880825,14148.497052
43,-14898.386394,866.488071,-5142.705521
44,-10925.500452,-1953.512378,11949.196022
45,5508.756642,14107.502587,-4176.727043
46,-7306.059526,-6912.924496,11044.666452
47,10231.508187,-7128.425268,4195.123384
48,-19582.446554,-12836.145874,-3785.256371
49,4718.794426,2504.690402,-2709.538125
50,-16619.913174,-18898.514691,3418.783576
51,13891.037933,-9109.414232,-7258.719565
52,3864.343169,-8695.622135,7175.356591
53,10420.600828,8638.944748,9820.606160
54,7467.158693,1603.143894,-44.489085
55,14962.272618,4974.700005,13806.795218
56,1621.546243,-15927.827009,-8191.601559
57,1197.132549,7356.358047,-1730.414318
58,1873.975342,-14649.122402,8731.072118
59,11838.136690,-5193.173701,-9612.908525
60,-16491.323844,-10272.045740,7351.126196
61,15386.107090,7555.707209,-16758.435366
62,-15314.994740,343.190510,14664.005039
63,15791.117170,1893.477053,16182.118107
64,3106.163787,-1713.202071,5532.098441
65,9022.553328,-17089.488141,17054.317056
66,9545.409317,-1528.800119,15464.250396
67,-6199.259939,9396.015161,-14599.865654
68,11125.460795,-15356.724995,-13285.634316
69,5078.828335,-1080.314226,-4260.496076
70,6169.504743,-11177.888335,-14823.237953
71,4133.307331,13047.438558,-11446.445799
72,-4547.685828,-42.102207,11721.871589
73,-82886.319535,25896.625712,-122751.431188
74,-16005.375661,8886.701622,-14487.536016
75,-6644.959773,209.173739,-1305.996115
76,99338.555375,-62405.016926,38072.912363
77,-6099.820886,5693.643976,-11468.752264
78,-15957.346787,145.004827,18063.199874
79,-8499.143562,7364.509610,15392.201984
80,2456.014977,-1520.350621,-3005.242096
81,7210.960732,13499.071772,9313.983379
82,13342.718827,2171.785926,-9200.847715
83,-16641.961476,15646.243759,-3713.231022
84,13272.166828,9325.247880,9890.979768
85,-4176.235554,4501.438913,1432.070000
86,-18362.156098,8912.659034,-12095.447609
87,-5957.741940,-1963.355705,-3189.320003
88,-10838.317951,-4704.750838,7044.629129
89,12596.746766,-6539.658698,1168.464538
90,-5329.660297,16081.867262,-12845.676762
91,14703.034265,14690.807506,1027.854731
92,5533.836977,-15019.520778,-3272.253275
93,5292.115763,-2422.011780,605.724698
94,17702.232044,-2786.902578,-12707.976021
95,10193.996998,8274.036684,-3143.237335
96,5366.863352,-2226.790112,-3225.471480
97,12614.744630,8777.320584,-112.014109
98,2485.221059,4240.333849,-2741.326555
99,5501.621047,-14473.008455,960.957912
100,-14995.065828,12867.656883,-13646.010062
101,10407.321218,5616.970504,4651.433824
102,-18075.416025,-1919.516809,-14316.643613
103,-7276.495788,16175.333078,-2718.615736
104,-3995.836896,-5692.807762,11212.883785
105,6405.898869,9046.338445,12939.276857
106,-15308.605058,-903.427274,-8041.835449
107,16661.527226,6876.141320,11884.106331
108,4928.763595,17660.791499,-6672.160349
109,6544.962838,-9208.680240,-13893.610062
110,-13785.221043,53.031276,11284.525280
111,16830.234629,3715.515893,-12329.431689
112,17346.462773,8471.869482,-4963.464754
113,7276.025050,13855.709125,-8596.982079
114,-17376.159443,14235.185709,56.970671
115,8555.545482,-17640.247726,11380.186613
116,-14596.057006,-14870.417963,2917.213809
117,9286.737701,910.454006,-2081.113792
118,-9077.338306,-2056.395566,-2798.528035
119,-1030.503449,11612.203450,12066.788177
120,12474.546732,-1926.859209,11413.259145
121,-17609.794194,-5194.902869,-8834.339387
122,16005.662942,-16939.812737,-11194.405835
123,-2084.127269,9948.699399,-4458.641550
124,9980.294375,8798.985038,4459.446695
125,-3060.201318,13660.100509,1181.923952
126,-20391.654646,832.375972,-9054.770283
127,-12026.390246,-4375.445851,10891.358499
128,-7097.368123,-23247.108879,5120.744903
129,15523.022208,-17116.432618,2190.949609
130,-565.503380,-1039.885201,11504.623566
131,3279.438645,3220.398144,-10418.899588
132,-16260.499621,9887.084116,-12280.647286
133,-4556.659071,9492.430275,-10737.738444
134,-7653.623220,7298.515694,14336.497162
135,-2324.035865,-2515.060659,18118.894928
136,17809.790205,-14248.200235,-14936.748799
137,-13669.746579,-10569.032098,-1626.345911
138,3152.157589,-9986.313536,14453.500761
139,17809.648646,-15366.052380,-12480.158117
140,648.592781,9448.502690,10028.184451
141,-16728.154902,1926.187129,4680.656981
142,6854.877291,-17001.570834,-7453.225885
143,-7500.258687,-15152.156935,21306.741423
144,2027.865062,3956.094403,-15016.867283
145,-6532.147290,1099.206183,-9423.034079
146,-13953.412889,-2310.377814,-18196.373900
147,-12451.969482,8743.117062,6785.175528
148,6043.950631,-2258.462107,10957.330703
149,14429.009568,-3686.905332,1545.039778
150,10042.780202,-14894.130166,2733.815638
151,9384.795180,16269.592267,7594.633520
152,10389.814616,-10185.754760,15257.832676
153,-3803.765552,12985.263705,1048.192806
154,12852.193949,1266.239533,4604.147891
155,52554.974531,-32308.618215,-22960.281388
156,13343.997842,15603.092962,-15183.030345
157,13283.995770,-14460.568079,9243.024875
158,-6500.711597,-8039.445939,-7038.863669
159,5861.262779,-18701.502623,15694.257832
160,9178.515332,14706.494405,-9644.132732
161,14828.243545,-13054.132335,4831.951846
162,-9114.462307,8547.485771,17509.468027
163,-17177.518541,-2155.978378,-18421.414333
164,-13040.703110,-12618.825866,-14452.264906
165,6502.245617,-17261.287811,-2287.665233
166,-6692.477364,-1931.462503,12520.316291
167,17195.331621,-4308.612942,-15256.584156
168,8834.456070,-18002.498779,-11654.792877
169,-4493.153931,-5448.940608,16832.924075
170,-633.546234,-6060.225473,15977.156283
171,13541.118966,-6245.801204,12321.871203
172,-8777.243948,-3674.740822,3841.385533
173,-6511.755523,14615.041036,4270.695638
174,10240.169681,-10283.535642,-16571.622210
175,8099.748421,-17171.392519,-10467.863094
176,-17393.511481,15293.410928,-12892.152301
177,10328.909621,-9252.352375,-3658.534471
178,-13060.361786,-11724.735400,15074.526912
179,-681.224560,8895.805177,15544.682823
180,-7148.562675,-4703.622639,2643.546271
181,-4273.692963,-7473.887440,13632.327496
182,4855.439622,-1402.652713,-6875.402072
183,-4147.391437,4384.381444,16583.510764
184,14827.045757,-14028.369368,9524.410768
185,10674.247440,-6012.138030,6463.689597
186,-7479.353133,17183.974367,6094.351244
187,8067.080247,-8934.173985,-13482.683288
188,11321.792388,13355.803868,-13878.231825
189,-15524.659075,10137.442220,-5572.680068
190,7347.974975,964.747946,-7127.785121
191,-9297.095969,-2973.946890,-14727.735896
192,-6724.137234,19607.528834,-1170.787213
193,-9403.217207,8202.033411,6876.575402
194,-12320.192095,3631.912845,-8837.099000
195,-4999.018413,5372.472956,-16257.078081
196,-2638.827148,15011.110279,-4358.755623
197,-1830.691501,-11590.524988,-13579.329921
198,-3141.144479,9093.797686,15237.675644
199,8599.996259,-8488.172526,17161.811733
200,10299.730461,6993.864889,-17215.546593
201,-327.008209,17094.415151,17603.266361
202,-10987.350870,6787.592945,14397.010525
