step,total_vel_x,total_vel_y,total_vel_z
0,0.046589,-0.004529,0.000000
1000,0.307452,0.094895,0.059904
2000,0.574899,0.193746,0.089752
3000,0.852556,0.270007,0.092096
4000,1.061717,0.367394,0.119410
5000,1.284580,0.448458,0.145365
6000,1.485847,0.538434,0.220552
7000,1.656050,0.633565,0.259086
8000,1.832131,0.730691,0.268134
9000,1.996241,0.817788,0.152681
10000,2.222097,0.886062,0.139018
11000,2.409584,0.982799,0.148826
12000,2.588354,1.017223,0.128847
13000,2.791726,1.059038,0.177693
14000,3.053571,1.103413,0.190520
15000,3.204640,1.228536,0.290577
16000,3.373928,1.402454,0.392474
17000,3.530553,1.586527,0.417824
18000,3.725591,1.762990,0.373053
19000,3.846881,1.894502,0.249834
20000,3.809540,1.954828,0.120226
21000,3.714052,2.057522,0.026175
22000,3.769556,2.153460,-0.049787
23000,3.940309,2.232872,-0.081831
24000,3.805990,2.623186,-0.302963
25000,3.809653,2.649830,-0.268606
26000,3.827286,2.630425,-0.216337
27000,3.934428,2.533593,-0.355358
28000,4.163218,2.659872,-0.456236
29000,4.594383,2.608314,-0.536997
30000,4.778025,2.551592,-0.773811
31000,4.808998,2.344029,-1.396063
32000,5.032436,2.092174,-1.894370
33000,5.313473,1.872915,-2.610687
34000,5.807392,1.608143,-3.350160
35000,5.967774,1.593897,-3.774306
36000,5.995926,2.010084,-4.286141
37000,6.032255,2.731254,-4.555634
38000,6.364114,3.283455,-5.155618
39000,6.978199,3.320184,-5.726581
40000,8.003419,3.983493,-6.183893
41000,8.798988,5.397502,-6.979051
42000,9.613400,6.616357,-7.474038
43000,10.726959,7.681648,-8.202379
44000,11.696756,9.594368,-9.185152
45000,13.297312,11.181504,-10.122089
46000,14.692587,12.653236,-10.462177
47000,16.296793,13.616234,-10.530480
48000,17.179506,13.461968,-10.558178
49000,18.198534,13.359640,-9.703163
50000,19.742396,13.753279,-8.956275
