step,total_ke
0,1.922455
1000,62348317.341321
2000,1049178835.564233
3000,2080170031.801376
4000,3390270993.350036
5000,5856056424.703303
6000,7222422440.516130
7000,8567980404.693204
8000,11168738414.175602
9000,12336845083.475527
10000,13464130889.720776
11000,14627855091.583828
12000,15516470254.675123
13000,15739024160.645693
14000,15955812141.890501
15000,16175236719.103039
16000,16359066592.287327
17000,16537651106.795286
18000,16677022573.456358
19000,16733897526.710478
20000,16810575336.775103
21000,16874294963.641766
22000,16880570024.714878
23000,16894804294.803762
24000,16912534293.181215
25000,16927481766.856379
26000,16939539938.410933
27000,17093874779.191137
28000,17105173972.695404
29000,17116964194.322603
30000,17128551607.701078
31000,17162960031.540686
32000,17179651467.390841
33000,17191970146.629757
34000,17287958352.866501
35000,17301902891.988548
36000,17318628480.882252
37000,17333084471.376862
38000,17347586762.737953
39000,17363482206.838581
40000,17380275520.270542
41000,17400990523.915993
42000,17423840378.448090
43000,17471270103.446705
44000,17494916529.782036
45000,17521360366.504990
46000,17548174514.545731
47000,17582362756.986637
48000,17614389337.685982
49000,17649223989.562546
50000,17687029805.403591
