step,total_pe
0,2116867941.788042
1000,2117162407.790023
2000,2117989481.054579
3000,2118774160.389988
4000,2119664816.444227
5000,2120393989.269408
6000,2121047691.197546
7000,2121753754.227029
8000,2122465547.544036
9000,2123450330.777657
10000,2125384203.991749
11000,2126667771.761774
12000,2128618128.341853
13000,2131090047.552990
14000,2134482592.871472
15000,2137753280.728999
16000,2142152028.815724
17000,2146093310.235672
18000,2151071431.057692
19000,2156757777.238854
20000,2163291047.356738
21000,2170560754.272079
22000,2178119296.928451
23000,2187052792.271253
24000,2196206070.399271
25000,2206954448.087223
26000,2218446198.039113
27000,2230669598.466228
28000,2244366119.470436
29000,2258472086.397942
30000,2274308015.133885
31000,2291287824.903656
32000,2309457644.111645
33000,2329039983.662428
34000,2349875817.426874
35000,2372958302.864786
36000,2397075897.554938
37000,2423415596.467912
38000,2451665009.615762
39000,2482234251.884121
40000,2515100796.990149
41000,2550503058.123190
42000,2589040647.067392
43000,2630208674.890741
44000,2675093851.031672
45000,2723513194.155138
46000,2776247051.842269
47000,2833648582.080893
48000,2896711530.823552
49000,2965858222.447674
50000,3041770870.156078
