step,total_ke
0,5212982917.285172
1000,5211559998.845059
2000,5207678397.551924
3000,5201547632.338593
4000,5193448979.964953
5000,5183564150.877621
6000,5172089216.626735
7000,5159186886.332261
8000,5145019450.328627
9000,5129769546.589896
10000,5113591353.299820
11000,5096640553.633312
12000,5079002101.513196
13000,5060835887.603402
14000,5042329871.015430
15000,5023568236.576695
16000,5004668622.141617
17000,4985753927.279143
18000,4966944750.106320
19000,4948310051.840652
20000,4929937975.796103
21000,4911885729.288888
22000,4894230144.102337
23000,4876981009.762181
24000,4860206201.766017
25000,4843897182.419062
