step,total_pe
0,2122557588.053118
1000,2119685900.927298
2000,2111858587.790514
3000,2099527280.944128
4000,2083287255.300540
5000,2063491339.923196
6000,2040546380.083639
7000,2014783477.340684
8000,1986519165.670478
9000,1956102635.335918
10000,1923855511.262937
11000,1890083932.375450
12000,1854947827.768595
13000,1818766122.376675
14000,1781903051.039163
15000,1744522466.239264
16000,1706856097.183068
17000,1669147090.694484
18000,1631638426.170103
19000,1594474023.941923
20000,1557828037.552167
21000,1521821452.927828
22000,1486602557.688745
23000,1452197071.149555
24000,1418733104.202531
25000,1386199025.876429
