step,total_ke
0,0.855001
1000,515659472.939593
2000,2325013739.876628
3000,3499476528.640661
4000,5418748555.977278
5000,7606922418.486971
6000,8446192672.034374
7000,10522212508.847734
8000,12322241095.950741
9000,13999792497.478628
10000,15005606710.226019
11000,15320734709.247675
12000,16330327233.505512
13000,16673356628.300171
14000,17090762771.301052
15000,17316073423.244007
16000,17374195674.450752
17000,17410189821.530525
18000,17459175767.198997
19000,17542159738.385014
20000,17573842282.919384
21000,17596449952.050621
22000,17633341882.366016
23000,17691894363.543484
24000,17717942644.931595
25000,17724547089.088715
