step,total_pe
0,2112811140.625740
1000,2113121430.332752
2000,2113672888.682273
3000,2114132899.188232
4000,2114574063.250215
5000,2114691107.102165
6000,2115079677.446268
7000,2116053202.308650
8000,2117769768.954087
9000,2117964324.666403
10000,2119347707.124234
11000,2120425953.761870
12000,2122370930.900308
13000,2124836680.576452
14000,2128216576.600963
15000,2131300614.017081
16000,2135506862.253647
17000,2140581915.825686
18000,2146135750.324578
19000,2152800991.707305
20000,2159987881.226056
21000,2168102263.184098
22000,2175907537.284888
23000,2185443440.789143
24000,2195514508.196733
25000,2206508581.123971
