step,total_vel_x,total_vel_y,total_vel_z
0,0.008348,0.010429,0.000000
1000,-0.077266,0.096537,-0.325983
2000,-0.167595,0.212596,-0.650360
3000,-0.205547,0.313580,-0.977471
4000,-0.239281,0.441982,-1.297631
5000,-0.266594,0.521144,-1.624326
6000,-0.289670,0.573528,-1.977011
7000,-0.239989,0.586002,-2.342535
8000,-0.147650,0.553920,-2.726361
9000,-0.163939,0.625789,-3.018773
10000,-0.161442,0.781475,-3.321085
11000,-0.107681,0.857756,-3.602401
12000,0.038863,0.845878,-3.862893
13000,0.139838,0.832600,-4.123691
14000,0.156747,0.765230,-4.329174
15000,0.237870,0.703077,-4.517318
16000,0.355064,0.511314,-4.819599
17000,0.576334,0.314733,-5.092637
18000,0.657498,0.168819,-5.487214
19000,0.724710,0.096366,-5.727866
20000,0.878176,-0.104410,-5.952916
21000,1.009224,-0.138368,-6.212718
22000,1.191784,-0.215930,-6.538557
23000,1.292975,-0.241391,-6.803759
24000,1.568285,-0.002461,-7.173334
25000,1.900935,0.157183,-7.357775
