step,total_vel_x,total_vel_y,total_vel_z
0,-180.614323,-232.271919,-31.538693
1000,-180.791819,-232.185833,-31.323858
2000,-180.771429,-232.171589,-31.230075
3000,-180.717534,-232.057202,-31.121802
4000,-180.716064,-231.971054,-31.021740
5000,-180.676811,-231.952307,-30.904810
6000,-180.690731,-231.925872,-30.806689
7000,-180.592287,-231.809548,-30.702725
8000,-180.529490,-231.622015,-30.557376
9000,-180.460085,-231.499496,-30.393543
10000,-180.487730,-231.389751,-30.290729
11000,-180.534802,-231.364271,-30.204408
12000,-180.561682,-231.409439,-30.158916
13000,-180.499944,-231.436548,-30.079916
14000,-180.474024,-231.392214,-29.933953
15000,-180.424153,-231.434934,-29.760945
16000,-180.355588,-231.474631,-29.639530
17000,-180.300652,-231.554227,-29.581780
18000,-180.273206,-231.596949,-29.525442
19000,-180.239362,-231.611261,-29.535251
20000,-180.252311,-231.609420,-29.494134
21000,-180.274385,-231.578558,-29.440086
22000,-180.331551,-231.507309,-29.418355
23000,-180.392910,-231.375971,-29.380670
24000,-180.417591,-231.302958,-29.374125
25000,-180.468667,-231.247036,-29.302862
26000,-180.477994,-231.197774,-29.231720
27000,-180.490556,-231.111834,-29.194140
28000,-180.500962,-231.082298,-29.169096
29000,-180.490600,-231.079752,-29.133370
30000,-180.487892,-231.068263,-29.106297
31000,-180.462264,-231.101837,-29.099036
32000,-180.435537,-231.135999,-29.103125
33000,-180.402483,-231.164244,-29.094178
34000,-180.396624,-231.219649,-29.099133
35000,-180.367525,-231.315133,-29.100025
36000,-180.325051,-231.407701,-29.117656
37000,-180.304921,-231.462904,-29.171645
38000,-180.257290,-231.536083,-29.230926
39000,-180.208236,-231.604313,-29.329922
40000,-180.163057,-231.637268,-29.421666
41000,-180.153816,-231.670843,-29.525838
42000,-180.140915,-231.729747,-29.623948
43000,-180.144998,-231.801264,-29.708288
44000,-180.160142,-231.865031,-29.791680
45000,-180.189101,-231.902246,-29.886332
46000,-180.208617,-231.934175,-29.972985
47000,-180.238405,-231.955370,-30.051208
48000,-180.285674,-231.957517,-30.134275
49000,-180.292640,-231.947455,-30.181208
50000,-180.301007,-231.936022,-30.228780
