step,total_ke
0,5244155748.352302
1000,5243111513.176148
2000,5239610332.617144
3000,5233831399.555856
4000,5225959784.701335
5000,5216259381.673596
6000,5204986050.881002
7000,5192249224.469339
8000,5178238544.879070
9000,5163159005.761183
10000,5147109900.124610
11000,5130258754.558868
12000,5112778178.302632
13000,5094763685.666229
14000,5076354351.306211
15000,5057685063.767466
16000,5038863043.909413
17000,5020018142.899567
18000,5001237019.373265
19000,4982635936.651103
20000,4964280201.816947
21000,4946233011.286999
22000,4928573312.900248
23000,4911335674.126281
24000,4894551162.185698
25000,4878229645.864208
26000,4862409143.033132
27000,4847087400.728709
28000,4832235622.525264
29000,4817880260.610885
30000,4803997455.001545
31000,4790587174.667948
32000,4777628256.142345
33000,4765111376.616689
34000,4753036998.385032
35000,4741379248.966731
36000,4730124941.038120
37000,4719255078.533200
38000,4708750737.821867
39000,4698602131.976282
40000,4688792215.559596
41000,4679308028.138846
42000,4670137060.969415
43000,4661267783.617949
44000,4652684402.369594
45000,4644382216.510135
46000,4636341412.108557
47000,4628553219.261379
48000,4621008642.656199
49000,4613700579.753527
50000,4606620745.455153
