step,total_pe
0,2116441624.541292
1000,2114318459.239673
2000,2107251644.084549
3000,2095623163.737673
4000,2079824443.218246
5000,2060394173.781803
6000,2037836232.261086
7000,2012382424.096855
8000,1984418392.307549
9000,1954346549.513594
10000,1922359913.932879
11000,1888783004.285523
12000,1853962018.366377
13000,1818084473.517456
14000,1781412322.087531
15000,1744207884.803644
16000,1706692920.208811
17000,1669126687.750169
18000,1631671666.709833
19000,1594561482.925792
20000,1557940893.637505
21000,1521936183.616823
22000,1486697624.556278
23000,1452288773.044023
24000,1418777691.397807
25000,1386188757.152781
26000,1354593859.584344
27000,1323987174.549994
28000,1294322984.630113
29000,1265661355.413882
30000,1237948133.256075
31000,1211188334.432339
32000,1185333057.681087
33000,1160367841.237828
34000,1136298058.294783
35000,1113059378.959870
36000,1090630732.555125
37000,1068975029.245712
38000,1048052857.378840
39000,1027844208.180858
40000,1008322006.402938
41000,989456611.470942
42000,971220397.682119
43000,953588442.139991
44000,936529961.018507
45000,920034499.513088
46000,904060090.530575
47000,888591571.599552
48000,873607934.433957
49000,859095197.160864
50000,845033272.212867
