step,total_pe
0,2121739083.331748
1000,2121837965.390192
2000,2122339128.718518
3000,2123199635.790435
4000,2124394060.863017
5000,2125929911.844228
6000,2127839761.219839
7000,2130129974.285779
8000,2132802466.322282
9000,2135867230.877944
10000,2139339072.540385
11000,2143199857.142550
12000,2147478526.542917
13000,2152198218.157207
14000,2157347745.773180
15000,2162887873.584622
16000,2168908346.081996
17000,2175377913.778157
18000,2182322699.543951
19000,2189714740.197997
20000,2197648137.209265
21000,2206078427.865253
22000,2215066810.266537
23000,2224595719.485843
24000,2234664030.423302
25000,2245319285.559688
