step,total_ke
0,208939783.383038
1000,208988987.486737
2000,209242619.910425
3000,209679118.593671
4000,210285537.432702
5000,211065015.714419
6000,212033768.116076
7000,213193370.909257
8000,214546169.152133
9000,216096336.892546
10000,217850712.997165
11000,219800413.736233
12000,221960107.828803
13000,224341150.753555
14000,226937977.750680
15000,229730442.112171
16000,232762997.526032
17000,236020327.009427
18000,239513997.974534
19000,243230967.519829
20000,247218399.231091
21000,251452777.124467
22000,255965972.746752
23000,260749475.258394
24000,265802020.617030
25000,271146645.401630
