step,total_vel_x,total_vel_y,total_vel_z
0,-86.004312,-395.723351,126.197687
1000,-86.063416,-395.680717,126.215802
2000,-86.214675,-395.642817,126.169090
3000,-86.354186,-395.560297,126.124450
4000,-86.488019,-395.480897,126.060050
5000,-86.625939,-395.394884,126.154213
6000,-86.777265,-395.311331,126.202131
7000,-86.759555,-395.110723,126.227629
8000,-86.735097,-394.890232,126.196410
9000,-86.719111,-394.684725,126.266752
10000,-86.831216,-394.562040,126.234108
11000,-86.973046,-394.420024,126.130139
12000,-87.081730,-394.317704,126.025052
13000,-87.202497,-394.327247,125.922501
14000,-87.179559,-394.274816,125.886450
15000,-87.193367,-394.206274,125.744172
16000,-87.177866,-394.066590,125.522287
17000,-87.048230,-393.840403,125.396556
18000,-87.001875,-393.647588,125.353542
19000,-86.948922,-393.588795,125.320479
20000,-86.947002,-393.437971,125.353888
21000,-87.052052,-393.308574,125.568233
22000,-87.143706,-393.219925,125.857803
23000,-87.312233,-393.192849,126.184281
24000,-87.445370,-393.002272,126.401725
25000,-87.677322,-392.790373,126.642787
