,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.47,0.4,0.04,0.48,0.01
1,1.0,0.47,0.4,0.04,0.48,0.01
2,2.0,0.47,0.4,0.04,0.48,0.01
3,3.0,0.47,0.4,0.04,0.48,0.01
4,4.0,0.47,0.4,0.04,0.48,0.01
5,5.0,0.47,0.4,0.04,0.48,0.01
6,6.0,0.47,0.4,0.04,0.48,0.01
7,7.0,0.48,0.4,0.04,0.48,0.01
8,8.0,0.48,0.4,0.04,0.48,0.01
9,9.0,0.48,0.4,0.04,0.48,0.01
10,10.0,0.49,0.4,0.04,0.44,0.01
11,11.0,0.5,0.4,0.04,0.44,0.01
12,12.0,0.5,0.4,0.04,0.44,0.01
13,13.0,0.5,0.4,0.04,0.44,0.01
14,14.0,0.51,0.44,0.01,0.44,0.01
15,15.0,0.51,0.4,0.04,0.44,0.01
16,16.0,0.52,0.4,0.04,0.44,0.01
17,17.0,0.53,0.4,0.04,0.44,0.01
18,18.0,0.53,0.4,0.04,0.44,0.01
19,19.0,0.54,0.4,0.04,0.44,0.01
20,20.0,0.55,0.36,0.08,0.44,0.01
21,21.0,0.55,0.36,0.08,0.4,0.04
22,22.0,0.56,0.4,0.04,0.4,0.04
23,23.0,0.57,0.36,0.08,0.4,0.04
24,24.0,0.58,0.4,0.04,0.4,0.04
25,25.0,0.58,0.32,0.16,0.44,0.01
26,26.0,0.59,0.36,0.08,0.4,0.04
27,27.0,0.59,0.36,0.08,0.4,0.04
28,28.0,0.6,0.36,0.08,0.4,0.04
29,29.0,0.61,0.36,0.08,0.4,0.04
30,30.0,0.62,0.36,0.08,0.4,0.04
31,31.0,0.63,0.32,0.16,0.4,0.04
32,32.0,0.64,0.32,0.16,0.4,0.04
33,33.0,0.64,0.36,0.08,0.36,0.08
34,34.0,0.65,0.32,0.16,0.36,0.08
35,35.0,0.65,0.32,0.16,0.4,0.04
36,36.0,0.66,0.32,0.16,0.4,0.04
37,37.0,0.67,0.32,0.16,0.4,0.04
38,38.0,0.68,0.32,0.16,0.4,0.04
39,39.0,0.68,0.36,0.08,0.4,0.04
40,40.0,0.69,0.36,0.08,0.4,0.04
41,41.0,0.7,0.36,0.08,0.44,0.01
42,42.0,0.7,0.36,0.08,0.44,0.01
43,43.0,0.71,0.36,0.08,0.44,0.01
44,44.0,0.72,0.36,0.08,0.44,0.01
45,45.0,0.73,0.36,0.08,0.44,0.01
46,46.0,0.73,0.4,0.04,0.44,0.01
47,47.0,0.74,0.4,0.04,0.48,0.01
48,48.0,0.74,0.4,0.04,0.48,0.01
49,49.0,0.75,0.4,0.04,0.48,0.01
50,50.0,0.76,0.4,0.04,0.48,0.01
