step,total_ke
0,5243511460.080722
1000,5242201621.393021
2000,5238417029.617259
3000,5232402126.965622
4000,5224332395.507912
5000,5214495980.171498
6000,5203001718.521539
7000,5190135030.899964
8000,5175932977.798052
9000,5160697567.985484
10000,5144518979.231853
11000,5127577508.916153
12000,5110020789.974414
13000,5091916378.615932
14000,5073446535.246840
15000,5054740188.105313
16000,5035856817.891812
17000,5016989278.459413
18000,4998211579.976625
19000,4979617421.724369
20000,4961266347.980443
21000,4943255815.583158
22000,4925605592.462186
23000,4908400546.665755
24000,4891647239.350137
25000,4875359898.238533
26000,4859559723.563880
27000,4844253553.354363
28000,4829436178.256022
29000,4815116239.467573
30000,4801277946.743246
31000,4787905695.817984
32000,4774996556.685198
33000,4762523278.934505
34000,4750478986.261471
35000,4738856566.859853
36000,4727635673.997343
37000,4716801211.397699
38000,4706335461.209241
39000,4696210898.972658
40000,4686424376.307754
41000,4676970069.665053
42000,4667830484.171354
43000,4658987379.511996
44000,4650432259.927313
45000,4642161918.847831
46000,4634143405.952243
47000,4626384146.221937
48000,4618866319.693630
49000,4611582573.928005
50000,4604520261.425868
