step,total_vel_x,total_vel_y,total_vel_z
0,157.940794,-1149.609428,-2499.945075
1000,158.107229,-1149.666021,-2499.793151
2000,158.186448,-1149.674186,-2499.507803
3000,158.276950,-1149.534525,-2499.118495
4000,158.376980,-1149.423874,-2498.818003
5000,158.411310,-1149.310868,-2498.619029
6000,158.567139,-1149.189664,-2498.472510
7000,158.657354,-1149.113837,-2498.292077
8000,158.758171,-1149.167500,-2498.194905
9000,158.857458,-1149.135856,-2498.199460
10000,158.893814,-1149.096848,-2498.227930
11000,158.858474,-1149.079827,-2498.338346
12000,158.860400,-1148.949836,-2498.478264
13000,158.852001,-1148.924411,-2498.511400
14000,158.793714,-1148.928074,-2498.572987
15000,158.680501,-1148.931970,-2498.739214
16000,158.541487,-1148.940837,-2498.925297
17000,158.495345,-1148.962596,-2499.022415
18000,158.471429,-1149.028440,-2499.107354
19000,158.467463,-1149.021334,-2499.184449
20000,158.535110,-1149.005641,-2499.225088
21000,158.534872,-1149.045335,-2499.314168
22000,158.501392,-1149.096262,-2499.384975
23000,158.417665,-1149.127866,-2499.361576
24000,158.355329,-1149.159418,-2499.358374
25000,158.266193,-1149.156538,-2499.368228
26000,158.211910,-1149.117028,-2499.382472
27000,158.173239,-1149.030130,-2499.428747
28000,158.147508,-1148.915374,-2499.457568
29000,158.108182,-1148.826659,-2499.554081
30000,158.059397,-1148.760085,-2499.618188
31000,158.053449,-1148.707283,-2499.689344
32000,158.051463,-1148.595067,-2499.753584
33000,158.067760,-1148.511718,-2499.772409
34000,158.100063,-1148.423806,-2499.769397
35000,158.126904,-1148.379814,-2499.767434
36000,158.134163,-1148.302457,-2499.739042
37000,158.130383,-1148.242395,-2499.732770
38000,158.135646,-1148.191077,-2499.693086
39000,158.159201,-1148.156346,-2499.658732
40000,158.198840,-1148.131495,-2499.619227
41000,158.232340,-1148.089498,-2499.541471
42000,158.284708,-1148.075783,-2499.463942
43000,158.342450,-1148.065130,-2499.400151
44000,158.402155,-1148.037178,-2499.350145
45000,158.476514,-1147.973312,-2499.322760
46000,158.534210,-1147.925304,-2499.304242
47000,158.581642,-1147.895666,-2499.283908
48000,158.614590,-1147.876871,-2499.257740
49000,158.634685,-1147.837811,-2499.235035
50000,158.655757,-1147.787271,-2499.212235
