step,total_pe
0,2117693257.863922
1000,2115049065.386827
2000,2107437561.790429
3000,2095361013.857545
4000,2079190679.434071
5000,2059497338.438055
6000,2036504595.585869
7000,2010804982.281399
8000,1982452665.615721
9000,1952072560.404758
10000,1919827938.746210
11000,1886074558.347656
12000,1851098558.921104
13000,1815032219.657439
14000,1778236736.604737
15000,1740966335.031352
16000,1703328211.954225
17000,1665716060.229291
18000,1628286209.734618
19000,1591227092.411495
20000,1554644954.230768
21000,1518731462.107355
22000,1483522006.053406
23000,1449190537.601518
24000,1415755053.447872
25000,1383247402.410377
26000,1351710438.663915
27000,1321165410.749859
28000,1291595556.074261
29000,1263016135.323190
30000,1235400259.154058
31000,1208715512.258859
32000,1182965740.269681
33000,1158087284.556941
34000,1134071762.446816
35000,1110906616.487176
36000,1088547440.835086
37000,1066964028.097836
38000,1046123546.338107
39000,1025973263.936550
40000,1006504197.013407
41000,987703612.273003
42000,969532160.493140
43000,951955777.529650
44000,934955440.088843
45000,918520835.909863
46000,902590450.417093
47000,887178212.368404
48000,872247147.980819
49000,857781132.132367
50000,843754899.362838
