step,total_vel_x,total_vel_y,total_vel_z
0,-88.998052,160.329525,-60.646466
1000,-88.863378,160.307135,-60.644674
2000,-88.664479,160.248731,-60.762219
3000,-88.473042,160.206488,-60.911188
4000,-88.334568,160.244149,-61.128712
5000,-88.348034,160.357149,-61.217965
6000,-88.304042,160.428597,-61.225952
7000,-88.272638,160.474022,-61.220758
8000,-88.218682,160.443236,-61.170707
9000,-88.177460,160.338780,-61.113336
10000,-88.124160,160.263843,-61.038445
11000,-88.105888,160.192745,-61.004507
12000,-88.086791,160.119562,-60.926170
13000,-88.036380,159.986043,-60.746064
14000,-88.017593,159.875246,-60.551546
15000,-87.943499,159.649590,-60.374744
16000,-87.827251,159.420148,-60.343069
17000,-87.706188,159.159083,-60.198428
18000,-87.512442,158.956827,-60.030517
19000,-87.275431,158.833929,-59.830437
20000,-87.064606,158.712865,-59.477241
21000,-86.881506,158.505470,-59.152823
22000,-86.669877,158.342987,-58.888585
23000,-86.524229,158.180630,-58.655643
24000,-86.312478,157.937190,-58.400230
25000,-86.256765,157.778102,-58.211832
