step,total_ke
0,209861564.071446
1000,209945466.881844
2000,210525656.764859
3000,210944238.069190
4000,211557818.585518
5000,212336016.797819
6000,213302020.208799
7000,214458178.527544
8000,215805648.791842
9000,217347361.871648
10000,219060321.987689
11000,220964338.484458
12000,223105630.944828
13000,225425303.768737
14000,227966879.730936
15000,230715757.364077
16000,233684044.912546
17000,236892686.315859
18000,240299656.632298
19000,243963378.262278
20000,247873927.995418
21000,252045782.871978
22000,256536547.381093
23000,261281164.075421
24000,266240124.573357
25000,271484724.397051
