particle,pos_x,pos_y,pos_z
0,10148.989206,33179.051844,-41029.835801
1,6128.717715,-4005.582631,-9430.045890
2,-2858.646715,8228.128070,-8402.311673
3,25714.424960,-5842.894057,-27236.876386
4,-27859.838620,-17678.460918,2930.141208
5,10498.245933,-52132.671794,-22773.213499
6,-20855.673035,-20431.582567,-6291.346613
7,-30869.742924,-13022.509479,37446.975318
8,-34639.793988,-13481.740834,16584.234645
9,-28093.503339,-15175.816985,15367.672369
10,-4622.550841,-29390.080467,-2928.239734
11,14081.537845,8727.668243,27526.758090
12,71428.414693,-28974.580107,2847.697473
13,-528.134550,15725.663719,-470.976415
14,30211.282308,-20016.292866,-45985.409345
15,58144.289423,27718.076623,-27423.583046
16,-7585.125880,-5151.217332,2860.006454
17,-10158.015507,-24030.824598,22969.157883
18,-24.997581,8019.577528,17689.811701
19,5814.474263,10639.471829,-37344.131532
20,8140.782199,36981.343040,-9037.018422
21,22165.668933,-28186.082061,35756.661051
22,5947.107640,11626.591851,-58040.113650
23,-7951.740800,2169.533149,-30921.563019
24,-11074.356392,8593.876725,9481.581464
25,-13256.773816,18805.875097,2691.198089
26,-3975.389254,7198.362373,17007.350983
27,20562.790368,13481.100482,29074.870253
28,-13951.457661,2398.523158,44088.180259
29,2621.273954,15838.457376,7291.870001
30,56287.973649,-40193.626597,21215.196822
31,9037.157712,18170.980365,-38651.739982
32,-11436.710692,-17956.787419,30566.695765
33,-13931.611537,21570.737862,-26728.576984
34,25864.180787,9048.044810,-7335.082666
35,38568.383985,281.202148,-3978.690864
36,-23005.968486,1302.121593,12748.328822
37,-28945.431555,637.870283,5774.463846
38,34453.198716,-20067.035916,-34582.598074
39,-9006.373345,19887.413391,34369.509637
40,7606.842776,-17251.915720,35034.927079
41,-24562.981671,34657.426701,30262.230471
42,892.421314,6804.784890,37463.305317
43,16509.849546,19053.851416,5690.126531
44,18293.412204,37002.935937,7048.340666
45,-7187.196134,-42407.338125,-7122.572120
46,27331.741168,17816.561270,-16508.534687
47,288.125557,25859.477479,-9993.111246
48,-52432.119672,-7904.580031,-41240.724145
49,9595.550010,5091.924807,7036.381511
50,29386.929420,-17425.928998,3143.464288
51,1537.502641,-3968.379362,5732.673572
52,-16528.473833,-17179.888482,11158.369426
53,39189.177917,55262.939739,2103.229235
54,6038.745753,-4928.614000,36842.813532
55,50010.664898,-1483.281758,8763.978869
56,14295.857423,-1112.440511,51965.798443
57,-10517.371448,-27365.686418,32496.122949
58,-50688.692829,16879.914216,26955.822573
59,32611.608723,-39490.590095,-2106.332285
60,-2899.494201,20183.465990,-15015.315504
61,-15806.065305,14758.628423,-16345.737620
62,-966.595659,894.584351,-3093.619077
63,30708.015194,-65607.439185,-676.503044
64,27812.457345,7461.458703,-26994.089893
65,37803.809890,16934.321395,-5977.563827
66,12466.254244,-29036.245142,25727.243336
67,-649.199830,-26580.523864,44063.593685
68,-15915.226524,10453.617134,-19348.076279
69,3992.075540,-32304.997790,4543.071652
70,4626.326130,6364.263403,-57835.207516
71,18217.890251,5784.743875,22978.717938
72,-6301.018256,20187.515383,43206.885679
73,30578.193337,-3156.599329,-5166.407972
74,22271.513928,16431.651535,10229.026019
75,-16265.999363,9522.651899,-61648.101562
76,-3544.390178,-26221.146180,49818.524998
77,-13913.386748,-12167.473410,-54644.953293
78,-31173.711146,-28400.030738,15979.652769
79,34893.941730,-6261.658535,16272.414038
80,-56780.026702,-8501.604695,32260.012131
81,15901.768632,-20665.397507,63063.548880
82,-9320.176332,49893.551693,10048.876763
83,49563.679921,-13906.879763,-15282.131077
84,46491.577867,12473.074079,-6486.743532
85,-11973.392272,19455.576710,-42248.538811
86,-5146.287050,30924.737288,21910.365311
87,-3961.292395,12151.303269,42013.441200
88,-20591.811409,4983.940691,4476.354660
89,14706.006557,-9534.930827,19967.577893
90,-24500.047449,50394.425119,24312.676406
91,-14645.691641,8009.034387,31527.550145
92,22331.105808,-21906.147123,-7732.984780
93,11771.123925,-19032.846798,21500.188306
94,-19366.591991,3492.152553,38796.888818
95,-9917.097054,32083.239979,7305.779684
96,10219.708946,-19027.009138,27773.639698
97,-4216.031083,-16912.771681,-15725.625333
98,28323.932006,-30432.877814,10612.055750
99,-48599.713184,-7944.763787,32324.621782
100,10637.337247,-14535.240077,7383.017506
101,-11659.134506,-10363.132707,38137.768356
102,-37593.544352,-8558.240175,-38187.411727
103,-6921.957091,-10565.446235,46134.634733
104,-1213.170619,-3999.407164,47096.904837
105,24750.116738,-29958.972129,28534.244881
106,-32080.635816,20482.379365,40357.850278
107,-15665.389235,16230.230973,-31492.121317
108,28645.466429,32305.618053,44982.045597
109,-17459.695587,23223.328701,-25550.982336
110,-34954.591766,-11287.730829,27301.346795
111,6383.084081,-70631.406807,6422.512842
112,11752.379924,8235.515459,41057.035799
113,1206.980618,-37752.577801,-7560.707317
114,2752.399388,-22375.038093,36882.141779
115,16944.751356,9249.766684,-3239.602518
116,22109.418887,-22211.664782,32828.095777
117,8407.490742,7303.380140,-41558.513822
118,72722.673896,2797.182199,-5144.041590
119,5021.328197,937.521548,-41634.800870
120,34867.701718,-30781.673919,24319.500612
121,-17958.368909,38230.952554,6561.508231
122,-5362.363887,-3303.401493,-28032.722455
123,-7979.928430,5622.307564,13072.047955
124,40677.335968,25689.699101,16700.306186
125,-1161.468219,293.373588,-26298.299691
126,-13712.937724,33224.145575,-13620.383688
127,36711.509605,34756.694347,-15465.667866
128,-11196.927370,46753.448488,-21434.500275
129,-48828.769844,-35646.357551,-17315.464277
130,10911.097392,15755.438982,-48729.334678
131,46022.811125,-11129.075501,6353.640724
132,14249.908648,-46931.618046,-47480.724645
