step,total_pe
0,2114222949.613018
1000,2114454826.794824
2000,2114996838.426293
3000,2115880654.763238
4000,2117077562.108921
5000,2118654468.774023
6000,2120599135.498971
7000,2122900710.873324
8000,2125561279.737418
9000,2128599141.033709
10000,2132031192.129268
11000,2135850627.905264
12000,2140088000.295603
13000,2144761448.999990
14000,2149863764.462271
15000,2155376659.435309
16000,2161324003.789138
17000,2167715013.599968
18000,2174567813.176283
19000,2181920338.527516
20000,2189762633.524453
21000,2198146457.808152
22000,2207016561.222543
23000,2216421564.957224
24000,2226382300.761096
25000,2236907397.157346
