step,total_ke
0,210826047.124831
1000,210944420.120661
2000,211220420.358505
3000,211670599.431005
4000,212279683.733530
5000,213081295.689866
6000,214068855.003195
7000,215236256.734741
8000,216584379.174371
9000,218122224.137872
10000,219857816.078778
11000,221801562.460887
12000,223941522.861606
13000,226300431.406708
14000,228874275.240877
15000,231710602.688373
16000,234707127.661899
17000,237925808.455098
18000,241374952.789879
19000,245074327.598325
20000,249018195.606183
21000,253232499.479042
22000,257689151.845020
23000,262411280.868104
24000,267408746.633452
25000,272687760.199059
