step,total_vel_x,total_vel_y,total_vel_z
0,-143.506190,164.902252,-37.146569
1000,-143.413714,164.690055,-37.228892
2000,-143.140978,164.455194,-37.242407
3000,-142.886487,164.277245,-37.292872
4000,-142.731660,164.216814,-37.321634
5000,-142.578054,164.160656,-37.407974
6000,-142.459278,164.029278,-37.568243
7000,-142.313582,163.793649,-37.619368
8000,-142.080080,163.553115,-37.647503
9000,-141.918965,163.356315,-37.590756
10000,-141.669222,163.205353,-37.468144
11000,-141.417218,163.100583,-37.366288
12000,-141.220699,163.004540,-37.211983
13000,-141.021702,162.954798,-37.162199
14000,-140.888201,162.929842,-37.086899
15000,-140.788081,162.818323,-37.029408
16000,-140.716281,162.889856,-37.123703
17000,-140.657457,162.823085,-37.242227
18000,-140.574598,162.696732,-37.255972
19000,-140.496814,162.520725,-37.391761
20000,-140.472158,162.362566,-37.458591
21000,-140.426150,162.239709,-37.639841
22000,-140.270404,162.060525,-37.636501
23000,-140.118334,161.928959,-37.600503
24000,-140.052055,161.763744,-37.626265
25000,-139.878971,161.529621,-37.811437
